Iteración 35: Mejor evaluación: 880, Peor evaluación: 400, Promedio evaluación: 783.5228708783916, Diversidad Hamming: 1.7490196078431373, Diversidad Euclidiana: 1.1957303896134266
Iteración 36: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 785.9771217137056, Diversidad Hamming: 1.9858823529411764, Diversidad Euclidiana: 1.2781691354242806
Iteración 37: Mejor evaluación: 880, Peor evaluación: 500, Promedio evaluación: 771.7140510529313, Diversidad Hamming: 1.9152941176470588, Diversidad Euclidiana: 1.2778210525119404
Iteración 38: Mejor evaluación: 880, Peor evaluación: 530, Promedio evaluación: 768.5040843499951, Diversidad Hamming: 2.1349019607843136, Diversidad Euclidiana: 1.3450913600718801
Iteración 39: Mejor evaluación: 880, Peor evaluación: 390, Promedio evaluación: 772.8794931553897, Diversidad Hamming: 2.1631372549019607, Diversidad Euclidiana: 1.3472483947679268
Iteración 40: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 763.7926877541654, Diversidad Hamming: 2.271372549019608, Diversidad Euclidiana: 1.4298293446810488
Iteración 41: Mejor evaluación: 880, Peor evaluación: 580, Promedio evaluación: 770.9159517202199, Diversidad Hamming: 2.167843137254902, Diversidad Euclidiana: 1.3877528612378915
Iteración 42: Mejor evaluación: 880, Peor evaluación: 350, Promedio evaluación: 785.7520935071689, Diversidad Hamming: 1.6847058823529413, Diversidad Euclidiana: 1.1373746672261216
Iteración 43: Mejor evaluación: 880, Peor evaluación: 470, Promedio evaluación: 769.9348702829961, Diversidad Hamming: 2.095686274509804, Diversidad Euclidiana: 1.3365051490423452
Iteración 44: Mejor evaluación: 880, Peor evaluación: 570, Promedio evaluación: 781.045866514047, Diversidad Hamming: 1.7019607843137254, Diversidad Euclidiana: 1.170673586879223
Iteración 45: Mejor evaluación: 880, Peor evaluación: 200, Promedio evaluación: 765.5229332570235, Diversidad Hamming: 2.224313725490196, Diversidad Euclidiana: 1.3941279697011657
Iteración 46: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 763.545780354002, Diversidad Hamming: 2.3419607843137253, Diversidad Euclidiana: 1.4528791114603115
Iteración 47: Mejor evaluación: 880, Peor evaluación: 370, Promedio evaluación: 753.2434784122952, Diversidad Hamming: 2.5301960784313726, Diversidad Euclidiana: 1.520599339737476
Iteración 48: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 744.4648764610495, Diversidad Hamming: 2.6305882352941174, Diversidad Euclidiana: 1.5607455315721295
Iteración 49: Mejor evaluación: 880, Peor evaluación: 460, Promedio evaluación: 733.5069480344463, Diversidad Hamming: 2.804705882352941, Diversidad Euclidiana: 1.5956647375517563
Iteración 50: Mejor evaluación: 880, Peor evaluación: 320, Promedio evaluación: 726.361317154478, Diversidad Hamming: 2.716862745098039, Diversidad Euclidiana: 1.5872632116634553
Iteración 51: Mejor evaluación: 880, Peor evaluación: 440, Promedio evaluación: 722.6904624988076, Diversidad Hamming: 2.942745098039216, Diversidad Euclidiana: 1.6375101007654556
Iteración 52: Mejor evaluación: 880, Peor evaluación: 490, Promedio evaluación: 759.1883685043058, Diversidad Hamming: 1.816470588235294, Diversidad Euclidiana: 1.240796284939511
Iteración 53: Mejor evaluación: 880, Peor evaluación: 450, Promedio evaluación: 754.0059489580353, Diversidad Hamming: 2.175686274509804, Diversidad Euclidiana: 1.367690436379302
Iteración 54: Mejor evaluación: 880, Peor evaluación: 240, Promedio evaluación: 754.257876439802, Diversidad Hamming: 2.276078431372549, Diversidad Euclidiana: 1.4002154698083737
Iteración 55: Mejor evaluación: 880, Peor evaluación: 550, Promedio evaluación: 777.6191342983324, Diversidad Hamming: 1.7207843137254901, Diversidad Euclidiana: 1.2091223689481543
Iteración 56: Mejor evaluación: 880, Peor evaluación: 450, Promedio evaluación: 772.5350573452447, Diversidad Hamming: 2.232156862745098, Diversidad Euclidiana: 1.4178625505260747
Iteración 57: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 760.2871365157596, Diversidad Hamming: 2.6541176470588237, Diversidad Euclidiana: 1.5474115084034095
Iteración 58: Mejor evaluación: 880, Peor evaluación: 520, Promedio evaluación: 765.7318035519975, Diversidad Hamming: 2.2823529411764705, Diversidad Euclidiana: 1.4302592527858
Iteración 59: Mejor evaluación: 880, Peor evaluación: 520, Promedio evaluación: 771.199235109332, Diversidad Hamming: 1.9717647058823529, Diversidad Euclidiana: 1.2840671225274116
Iteración 60: Mejor evaluación: 880, Peor evaluación: 450, Promedio evaluación: 760.9917744174111, Diversidad Hamming: 2.447058823529412, Diversidad Euclidiana: 1.481252310473016
Iteración 61: Mejor evaluación: 880, Peor evaluación: 510, Promedio evaluación: 753.8292205420389, Diversidad Hamming: 2.3372549019607844, Diversidad Euclidiana: 1.431460923895635
Iteración 62: Mejor evaluación: 880, Peor evaluación: 320, Promedio evaluación: 734.1695122318038, Diversidad Hamming: 2.7027450980392156, Diversidad Euclidiana: 1.560189210212828
Iteración 63: Mejor evaluación: 880, Peor evaluación: 400, Promedio evaluación: 749.633775723745, Diversidad Hamming: 2.348235294117647, Diversidad Euclidiana: 1.4428704899016807
Iteración 64: Mejor evaluación: 880, Peor evaluación: 350, Promedio evaluación: 739.2286525677548, Diversidad Hamming: 2.8015686274509806, Diversidad Euclidiana: 1.584922994236973
Iteración 65: Mejor evaluación: 880, Peor evaluación: 560, Promedio evaluación: 757.1633458917206, Diversidad Hamming: 2.139607843137255, Diversidad Euclidiana: 1.3537043539988514
Iteración 66: Mejor evaluación: 880, Peor evaluación: 510, Promedio evaluación: 769.169908239978, Diversidad Hamming: 2.0141176470588236, Diversidad Euclidiana: 1.3230859886920256
Iteración 67: Mejor evaluación: 880, Peor evaluación: 420, Promedio evaluación: 764.2908364729301, Diversidad Hamming: 2.376470588235294, Diversidad Euclidiana: 1.4426291968165663
Iteración 68: Mejor evaluación: 880, Peor evaluación: 540, Promedio evaluación: 779.4983594129357, Diversidad Hamming: 1.7882352941176471, Diversidad Euclidiana: 1.215852628310137
Iteración 69: Mejor evaluación: 880, Peor evaluación: 380, Promedio evaluación: 762.984473824115, Diversidad Hamming: 2.4580392156862745, Diversidad Euclidiana: 1.474114375324394
Iteración 70: Mejor evaluación: 880, Peor evaluación: 520, Promedio evaluación: 761.0020408336261, Diversidad Hamming: 2.4156862745098038, Diversidad Euclidiana: 1.4884296622074609
Iteración 71: Mejor evaluación: 880, Peor evaluación: 420, Promedio evaluación: 750.6970988481855, Diversidad Hamming: 2.75921568627451, Diversidad Euclidiana: 1.5893543416426066
Iteración 72: Mejor evaluación: 880, Peor evaluación: 460, Promedio evaluación: 741.0348239338966, Diversidad Hamming: 2.795294117647059, Diversidad Euclidiana: 1.6024979044486993
Iteración 73: Mejor evaluación: 880, Peor evaluación: 580, Promedio evaluación: 753.262510006164, Diversidad Hamming: 2.443921568627451, Diversidad Euclidiana: 1.4782468598629017
Iteración 74: Mejor evaluación: 880, Peor evaluación: 370, Promedio evaluación: 767.5136079442584, Diversidad Hamming: 2.203921568627451, Diversidad Euclidiana: 1.3565372663307471
Iteración 75: Mejor evaluación: 880, Peor evaluación: 370, Promedio evaluación: 772.1881765211488, Diversidad Hamming: 1.9905882352941175, Diversidad Euclidiana: 1.2898543528686297
Iteración 76: Mejor evaluación: 880, Peor evaluación: 300, Promedio evaluación: 762.8587941429273, Diversidad Hamming: 2.2901960784313724, Diversidad Euclidiana: 1.3888284219418219
Iteración 77: Mejor evaluación: 880, Peor evaluación: 430, Promedio evaluación: 767.605867659699, Diversidad Hamming: 2.061176470588235, Diversidad Euclidiana: 1.3033139700658518
Iteración 78: Mejor evaluación: 880, Peor evaluación: 540, Promedio evaluación: 768.9009730455358, Diversidad Hamming: 2.111372549019608, Diversidad Euclidiana: 1.3457976689420978
Iteración 79: Mejor evaluación: 880, Peor evaluación: 530, Promedio evaluación: 774.3524473070815, Diversidad Hamming: 1.9858823529411764, Diversidad Euclidiana: 1.290453606963537
Iteración 80: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 784.7252432613839, Diversidad Hamming: 1.6925490196078432, Diversidad Euclidiana: 1.1813012563437402
Iteración 81: Mejor evaluación: 880, Peor evaluación: 570, Promedio evaluación: 781.4802686895155, Diversidad Hamming: 1.9278431372549019, Diversidad Euclidiana: 1.291405039634953
Iteración 82: Mejor evaluación: 880, Peor evaluación: 530, Promedio evaluación: 779.9558206192676, Diversidad Hamming: 2.108235294117647, Diversidad Euclidiana: 1.3424068832814349
Iteración 83: Mejor evaluación: 880, Peor evaluación: 500, Promedio evaluación: 766.9386946233592, Diversidad Hamming: 2.1882352941176473, Diversidad Euclidiana: 1.4009411224065502
Iteración 84: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 770.2340531940325, Diversidad Hamming: 2.0313725490196077, Diversidad Euclidiana: 1.3116007929806208
Iteración 85: Mejor evaluación: 880, Peor evaluación: 440, Promedio evaluación: 785.9013403225065, Diversidad Hamming: 1.9011764705882352, Diversidad Euclidiana: 1.267753254995922
Iteración 86: Mejor evaluación: 880, Peor evaluación: 440, Promedio evaluación: 769.7153760436062, Diversidad Hamming: 2.4815686274509803, Diversidad Euclidiana: 1.5067279894489776
Iteración 87: Mejor evaluación: 880, Peor evaluación: 470, Promedio evaluación: 754.9557272374893, Diversidad Hamming: 2.5207843137254904, Diversidad Euclidiana: 1.5069657011326947
Iteración 88: Mejor evaluación: 880, Peor evaluación: 380, Promedio evaluación: 761.7915891089408, Diversidad Hamming: 2.1709803921568627, Diversidad Euclidiana: 1.344976589598636
Iteración 89: Mejor evaluación: 880, Peor evaluación: 540, Promedio evaluación: 780.0134416132939, Diversidad Hamming: 1.703529411764706, Diversidad Euclidiana: 1.1694117011107232
Iteración 90: Mejor evaluación: 880, Peor evaluación: 520, Promedio evaluación: 775.4969168850783, Diversidad Hamming: 1.956078431372549, Diversidad Euclidiana: 1.2577323765700037
Iteración 91: Mejor evaluación: 880, Peor evaluación: 410, Promedio evaluación: 775.4935564817549, Diversidad Hamming: 2.023529411764706, Diversidad Euclidiana: 1.3073987387364494
Iteración 92: Mejor evaluación: 880, Peor evaluación: 540, Promedio evaluación: 784.6095233389167, Diversidad Hamming: 1.9262745098039216, Diversidad Euclidiana: 1.277110053740125
Iteración 93: Mejor evaluación: 880, Peor evaluación: 330, Promedio evaluación: 764.0694675518113, Diversidad Hamming: 2.368627450980392, Diversidad Euclidiana: 1.4340119267372218
Iteración 94: Mejor evaluación: 880, Peor evaluación: 440, Promedio evaluación: 778.4072827955135, Diversidad Hamming: 1.7380392156862745, Diversidad Euclidiana: 1.1985229380663462
Iteración 95: Mejor evaluación: 880, Peor evaluación: 460, Promedio evaluación: 778.8114845350117, Diversidad Hamming: 2.1176470588235294, Diversidad Euclidiana: 1.3283641551358538
Iteración 96: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 777.0528010910352, Diversidad Hamming: 2.131764705882353, Diversidad Euclidiana: 1.3663114379590022
Iteración 97: Mejor evaluación: 880, Peor evaluación: 460, Promedio evaluación: 778.1342436827725, Diversidad Hamming: 1.9372549019607843, Diversidad Euclidiana: 1.2805501880446815
Iteración 98: Mejor evaluación: 880, Peor evaluación: 600, Promedio evaluación: 785.8318277237393, Diversidad Hamming: 1.9058823529411764, Diversidad Euclidiana: 1.2687463941096677
Iteración 99: Mejor evaluación: 880, Peor evaluación: 540, Promedio evaluación: 798.406109940301, Diversidad Hamming: 1.352156862745098, Diversidad Euclidiana: 0.971603378744649
Iteración 100: Mejor evaluación: 880, Peor evaluación: 450, Promedio evaluación: 783.9089373230917, Diversidad Hamming: 1.9952941176470589, Diversidad Euclidiana: 1.289427386129471
Iteración 101: Mejor evaluación: 880, Peor evaluación: 290, Promedio evaluación: 775.2878019948791, Diversidad Hamming: 1.9843137254901961, Diversidad Euclidiana: 1.3070516066552078
Iteración 102: Mejor evaluación: 880, Peor evaluación: 540, Promedio evaluación: 774.21252844842, Diversidad Hamming: 2.296470588235294, Diversidad Euclidiana: 1.4442726297914612
Iteración 103: Mejor evaluación: 880, Peor evaluación: 400, Promedio evaluación: 761.8121465771512, Diversidad Hamming: 2.3450980392156864, Diversidad Euclidiana: 1.4616040903316057
Iteración 104: Mejor evaluación: 880, Peor evaluación: 460, Promedio evaluación: 755.0237203473991, Diversidad Hamming: 2.549019607843137, Diversidad Euclidiana: 1.5092677902299514
Iteración 105: Mejor evaluación: 880, Peor evaluación: 460, Promedio evaluación: 758.8844091933074, Diversidad Hamming: 2.508235294117647, Diversidad Euclidiana: 1.4873560095419873
Iteración 106: Mejor evaluación: 880, Peor evaluación: 540, Promedio evaluación: 771.7951457731243, Diversidad Hamming: 2.084705882352941, Diversidad Euclidiana: 1.3419518768218675
Iteración 107: Mejor evaluación: 880, Peor evaluación: 410, Promedio evaluación: 751.9760042591112, Diversidad Hamming: 2.4219607843137254, Diversidad Euclidiana: 1.4616746691138496
Iteración 108: Mejor evaluación: 880, Peor evaluación: 560, Promedio evaluación: 764.8115315413203, Diversidad Hamming: 2.0909803921568626, Diversidad Euclidiana: 1.3487967579899298
