iteracion  mejor_solucion       peor_solucion                   promedio                             distancia_euclidiana                         distancia_hamming                             entropia
0               903                181                    632.72                             3.0080090803992783                                    9.422857142857143                                        2.278883102044249
1               903                363                    702.34                             2.8332242441446747                                    8.706938775510205                                        2.335720336151016
2               903                363                    762.22                             2.4032017598827284                                    7.248979591836735                                        2.199857934885561
3               903                363                    815.44                             1.8441429079720844                                    5.457142857142857                                        1.947431758560741
4               903                363                    847.68                             1.3352001670738585                                    4.005714285714285                                        1.6164536400034826
5               903                363                    869.92                             0.8129791881064591                                    2.553469387755102                                        1.0940234036016778
6               903                363                    884.12                             0.472515798229252                                    1.4775510204081632                                        0.6639906298220449
7               903                363                    887.98                             0.38049216320721757                                    1.2522448979591836                                        0.5030637828081315
8               903                363                    892.2                             0.14422205101855956                                    0.52                                        0.167944147734173
9               903                903                    903.0                             0.0                                    0.0                                        -0.0
10               903                903                    903.0                             0.0                                    0.0                                        -0.0
11               903                903                    903.0                             0.0                                    0.0                                        -0.0
12               903                903                    903.0                             0.0                                    0.0                                        -0.0
13               903                903                    903.0                             0.0                                    0.0                                        -0.0
14               903                903                    903.0                             0.0                                    0.0                                        -0.0
15               903                328                    773.74                             1.8126438226741597                                    5.610612244897959                                        1.9553495878001195
16               903                147                    608.6                             2.9482553337129365                                    9.317551020408164                                        2.288477444374841
17               913                147                    775.8                             1.8511419123146862                                    5.841632653061224                                        1.9001080048535943
18               913                419                    860.72                             1.4269256635425205                                    4.04734693877551                                        1.4643444297504986
19               913                478                    894.72                             1.398576098671365                                    3.633469387755102                                        0.9738063501463982
20               913                903                    910.6                             0.9118100593543913                                    2.233469387755102                                        0.6601396522127864
21               913                903                    911.2                             0.7378462980301981                                    1.8073469387755101                                        0.6118982424659409
22               913                903                    912.2                             0.3679233572833508                                    0.9012244897959184                                        0.423062924751696
23               913                903                    912.4                             0.2819412683530025                                    0.6906122448979591                                        0.3570511974025997
24               913                903                    912.4                             0.2819412683530025                                    0.6906122448979591                                        0.3570511974025997
25               913                903                    912.4                             0.2819412683530025                                    0.6906122448979591                                        0.3570511974025997
26               913                913                    913.0                             0.0                                    0.0                                        -0.0
27               913                913                    913.0                             0.0                                    0.0                                        -0.0
28               913                913                    913.0                             0.0                                    0.0                                        -0.0
29               913                913                    913.0                             0.0                                    0.0                                        -0.0
30               913                913                    913.0                             0.0                                    0.0                                        -0.0
31               913                634                    907.42                             0.10583005244258364                                    0.28                                        0.167944147734173
32               913                -889                    734.56                             2.272743676781592                                    7.153469387755102                                        2.1808920068454265
33               913                282                    674.92                             2.880594462107974                                    9.088979591836734                                        2.2940150108790145
34               913                383                    782.8                             2.100735885495294                                    6.493061224489796                                        2.044470141982514
35               913                416                    847.84                             1.2030465240983992                                    3.733061224489796                                        1.3690425156217945
36               913                416                    851.18                             1.2056696121190715                                    3.7551020408163267                                        1.3586724196113857
37               913                416                    894.92                             0.43988851242078425                                    1.2906122448979591                                        0.6543675548783332
38               913                674                    904.86                             0.3080938590315059                                    0.830204081632653                                        0.4990958552626571
39               913                674                    907.16                             0.19862581615539215                                    0.5183673469387755                                        0.3356377455024303
40               913                913                    913.0                             0.0                                    0.0                                        -0.0
41               913                913                    913.0                             0.0                                    0.0                                        -0.0
42               913                913                    913.0                             0.0                                    0.0                                        -0.0
43               913                913                    913.0                             0.0                                    0.0                                        -0.0
44               913                913                    913.0                             0.0                                    0.0                                        -0.0
45               913                913                    913.0                             0.0                                    0.0                                        -0.0
46               913                913                    913.0                             0.0                                    0.0                                        -0.0
47               913                348                    901.7                             0.14966629547095767                                    0.56                                        0.167944147734173
48               913                300                    770.08                             2.027949391416365                                    6.45469387755102                                        2.012743025718749
49               913                -942                    639.08                             2.764676740898736                                    8.826938775510204                                        2.2194941162428345
50               913                -942                    735.5                             2.1497216712249343                                    6.7910204081632655                                        2.0942796604591485
51               913                -942                    813.2                             1.0234099002921453                                    3.1975510204081634                                        1.2277218384061424
52               913                -942                    862.66                             0.35302433175514475                                    1.0604081632653062                                        0.37661126631653685
53               913                913                    913.0                             0.0                                    0.0                                        -0.0
54               913                913                    913.0                             0.0                                    0.0                                        -0.0
55               913                913                    913.0                             0.0                                    0.0                                        -0.0
