iteracion  mejor_solucion       peor_solucion                               promedio                                 distancia_euclidiana                                  distancia_hamming                                    entropia
0               864                    -887                         274.91584158415844                             3.0934321503775344                                    9.757623762376237                                        2.244348119780927
1               893                    -959                         428.89356435643566                             3.0916416957604778                                    9.730297029702971                                        2.2618435371502588
2               868                    -965                         491.38242574257424                             3.080633567904266                                    9.71089108910891                                        2.252266391049307
3               911                    375                         563.2209158415842                             3.0626484751648255                                    9.598415841584158                                        2.276513217108134
4               900                    -995                         571.1352103960396                             3.0441464006131285                                    9.455049504950495                                        2.2646807093406536
5               877                    -905                         614.1715655940594                             3.0299735541083637                                    9.34019801980198                                        2.232388767462833
6               880                    -923                         592.7689511138615                             3.0888691635239067                                    9.722772277227723                                        2.2327036950968826
7               855                    363                         609.6468517945545                             3.0796754877316856                                    9.692277227722773                                        2.27679222221283
8               895                    -944                         602.6056041150991                             3.070432008062825                                    9.623366336633664                                        2.2559648654038122
9               969                    -912                         602.1938911664604                             3.0690289146665584                                    9.59881188118812                                        2.2348778099300026
10               946                    -938                         577.7850643951114                             3.0457541211835797                                    9.446336633663366                                        2.2445368121803853
11               914                    -882                         596.9915420985458                             3.0711312795382626                                    9.641584158415842                                        2.2705809072339664
12               837                    -913                         578.1739888710551                             3.0620349318155284                                    9.556039603960397                                        2.26329240101878
13               865                    -928                         571.7553112672108                             3.0963282610675256                                    9.742574257425742                                        2.250711344051358
14               823                    355                         583.8578536534073                             3.1013326787335376                                    9.796831683168318                                        2.2831160903987517
15               841                    -893                         589.4239763316541                             3.0741353204504827                                    9.60990099009901                                        2.2403011040506478
16               856                    324                         591.8060475717676                             3.116063746637161                                    9.889108910891089                                        2.2680241110049457
17               928                    286                         609.120845568062                             3.080740428947781                                    9.684356435643565                                        2.258408690466054
18               860                    -885                         603.0752742691795                             3.0975425737129862                                    9.74851485148515                                        2.2255702088871847
19               855                    -999                         581.6415975306294                             3.077402981062581                                    9.6590099009901                                        2.2341232305074032
20               938                    -898                         579.4841651019483                             3.1078394790156314                                    9.851089108910891                                        2.224726275907197
21               864                    178                         589.6826766103801                             3.1096244342206307                                    9.859009900990099                                        2.2605670064477055
22               858                    -891                         566.1482689982594                             3.103586422836446                                    9.826930693069308                                        2.269515420413378
23               878                    342                         585.5147285585356                             3.1157741899739366                                    9.876435643564356                                        2.2393183007911666
24               862                    -886                         555.6633048733272                             3.1098425966101857                                    9.858217821782178                                        2.264848304094423
25               846                    -894                         543.8613554069607                             3.107420489572645                                    9.83960396039604                                        2.2486760104264034
26               802                    -889                         552.6980044361536                             3.078630342342983                                    9.694257425742574                                        2.2625606098898334
27               907                    367                         590.6955368715421                             3.064742637214586                                    9.604356435643565                                        2.2715291790114764
28               966                    -890                         600.798263485276                             3.077456830257596                                    9.643564356435643                                        2.2433186849902627
29               909                    -924                         586.0525970891727                             3.0527793899958615                                    9.48990099009901                                        2.2286804695650253
30               940                    -913                         590.5758034950813                             3.0486522952929502                                    9.46891089108911                                        2.233778519856029
31               909                    -899                         597.3572086782337                             3.0681575687681137                                    9.614653465346535                                        2.25599488273995
32               915                    310                         591.8370201807011                             3.0993976644528356                                    9.798811881188119                                        2.2307586523220464
33               952                    -968                         549.5521734566871                             3.099646589854125                                    9.787326732673268                                        2.2338033108845594
34               914                    259                         585.5929184115118                             3.0971170491083164                                    9.780990099009902                                        2.2352023128825413
35               912                    -965                         583.2519047503104                             3.063092875404952                                    9.546138613861386                                        2.202843548558662
36               878                    -947                         528.7497147513928                             3.070774640569291                                    9.614257425742574                                        2.236187983000308
37               820                    -925                         557.7015900489637                             3.0864514385069457                                    9.713267326732673                                        2.2365235021049905
38               900                    -945                         530.0042603710165                             3.067081458528221                                    9.604752475247524                                        2.2256587895730338
39               919                    -946                         511.5664866211518                             3.0884764787389956                                    9.712079207920793                                        2.231987811132024
40               868                    -979                         552.7881938056254                             3.0850386366273277                                    9.705346534653465                                        2.243310387634501
41               903                    -974                         538.0921167047929                             3.0657504994272013                                    9.626930693069307                                        2.2629658357591635
42               908                    -944                         537.4817019167529                             3.097518911675886                                    9.787326732673268                                        2.2777301143871327
43               924                    -1026                         508.795306403921                             3.0790574832726745                                    9.647524752475247                                        2.254378397719316
44               887                    -914                         557.0758710237427                             3.039982676382154                                    9.423762376237624                                        2.2503616422247896
45               949                    -977                         590.0428860069209                             3.0501055580478202                                    9.472871287128713                                        2.2442037609681504
46               966                    -910                         606.5214430034605                             3.0644502272553633                                    9.567128712871288                                        2.2398525189773197
47               865                    -978                         585.9884442740074                             3.0634813157438945                                    9.576633663366337                                        2.233126330050759
48               922                    -879                         595.761548869677                             3.0714569909983505                                    9.601980198019803                                        2.213291805601277
49               922                    -889                         597.2124576031554                             3.083048225675317                                    9.711287128712872                                        2.274546280295981
50               991                    -903                         600.0765258312806                             3.0639870265533595                                    9.555247524752476                                        2.2185328260216917
51               910                    -976                         567.5927183611848                             3.054307819156391                                    9.534257425742574                                        2.2590122663065033
52               895                    -906                         603.390418586533                             3.063660443066987                                    9.554059405940594                                        2.241477005246909
53               889                    -946                         617.7744172140585                             3.046556746095824                                    9.467722772277227                                        2.2505399413188525
54               916                    -968                         618.1941393000986                             3.0572278184472474                                    9.517623762376237                                        2.227232536446919
55               906                    -916                         608.5624161847028                             3.0948520254869867                                    9.746138613861387                                        2.2303475058765057
56               838                    -935                         597.434673438886                             3.085102127519613                                    9.693861386138614                                        2.2383131014915216
57               877                    -977                         551.1084258283539                             3.0802781301513043                                    9.671683168316832                                        2.262974759180672
58               863                    -903                         552.0096584587313                             3.1007558208848027                                    9.794851485148515                                        2.2462214090927555
59               940                    -936                         550.252353981841                             3.1009082479295147                                    9.806732673267327                                        2.248007988289469
60               932                    -970                         579.7746918424057                             3.084730681914582                                    9.68950495049505                                        2.236568304465138
61               934                    -977                         591.3130884954603                             3.066810434483101                                    9.573465346534654                                        2.2507372702717343
62               934                    -901                         598.8397125645619                             3.07672062003789                                    9.636039603960397                                        2.2433154040813905
63               902                    -982                         589.0980741040631                             3.0414528601959425                                    9.445544554455445                                        2.2565673932604997
64               830                    -913                         571.0539875470811                             3.0673941341715643                                    9.644752475247525                                        2.2704944700652443
65               866                    -913                         559.2398650606692                             3.090917346742392                                    9.707326732673268                                        2.2446807800199595
66               903                    -917                         535.8278533224138                             3.062307993277589                                    9.563168316831684                                        2.2623430716831274
67               854                    351                         581.4683821067515                             3.074883314202078                                    9.634851485148515                                        2.2502865391972544
68               792                    -935                         546.1995375880292                             3.07786229102651                                    9.658613861386138                                        2.234338490783792
69               872                    -965                         498.22848166530173                             3.104313556728267                                    9.85980198019802                                        2.2912345653821453
70               923                    363                         531.733052713839                             3.0937217248150035                                    9.802376237623763                                        2.245451130061306
71               891                    381                         570.1932590301868                             3.0675929058004017                                    9.625742574257426                                        2.277654640487766
72               861                    -880                         583.0372235744994                             3.0808012027846066                                    9.706138613861386                                        2.28848598920869
73               860                    -932                         536.6621761436853                             3.068603988021155                                    9.608712871287128                                        2.245087428674722
74               879                    -976                         560.5538603490704                             3.1013684623347157                                    9.798019801980198                                        2.2689117156745366
75               880                    -972                         556.7769301745352                             3.0969275721620253                                    9.768316831683169                                        2.2155115624367734
76               852                    -926                         566.8241086516241                             3.0888131962625787                                    9.72950495049505                                        2.251666636814268
77               888                    -967                         573.4318563060101                             3.078622721488352                                    9.637227722772277                                        2.241556493599627
78               986                    357                         613.1416707272624                             3.064617485467963                                    9.567128712871288                                        2.258765152312569
79               908                    -1035                         596.7490531854135                             3.0869912492441847                                    9.715643564356435                                        2.288336205256286
80               794                    -959                         584.1567048105285                             3.103447320548017                                    9.79841584158416                                        2.235004550933447
81               869                    -977                         583.4991444844721                             3.0667618940573793                                    9.580594059405941                                        2.266108237763521
82               906                    -970                         586.759473232335                             3.0859378394174963                                    9.70891089108911                                        2.2543263034898895
83               850                    -929                         551.6668653290387                             3.0579066960394905                                    9.527524752475248                                        2.243288430478308
84               886                    -940                         547.7393732585788                             3.042539997308467                                    9.507722772277228                                        2.260003091956451
85               850                    -909                         534.5182014807746                             3.107861534548451                                    9.892673267326733                                        2.2567203351213254
86               908                    366                         567.402665096823                             3.1082099064669375                                    9.823762376237624                                        2.2209926701546907
87               941                    -909                         577.6270751226689                             3.0857401362404984                                    9.715247524752476                                        2.253444567165638
88               949                    -916                         559.6353197395522                             3.073648206781535                                    9.664554455445545                                        2.2397854736284106
89               935                    -973                         584.8127093747266                             3.059939880263375                                    9.544950495049505                                        2.24412766007185
90               895                    -942                         590.2231863705316                             3.063289655276463                                    9.556039603960397                                        2.2575331111472288
91               941                    -1014                         555.7353555615034                             3.0530151966217884                                    9.503366336633663                                        2.231817262964391
92               928                    -926                         560.6795589688705                             3.049100547409337                                    9.467722772277227                                        2.2425318598180946
93               888                    -1011                         565.4882943359205                             3.0631566762708697                                    9.582574257425742                                        2.2421700461050036
94               895                    -940                         575.8382065739008                             3.0714237865631895                                    9.643564356435643                                        2.2733658154096132
95               918                    -941                         571.042865663188                             3.0856921150142465                                    9.703762376237623                                        2.2272675311174104
96               901                    -962                         525.1649971880296                             3.0935920252101825                                    9.77108910891089                                        2.2426177229212403
97               889                    -919                         545.2161619603514                             3.0992968671428742                                    9.80990099009901                                        2.225485648801416
98               907                    -981                         561.4991700890866                             3.0657825591293313                                    9.579405940594059                                        2.231522570831144
99               955                    -957                         590.5614662326622                             3.0688321635755993                                    9.61108910891089                                        2.256777039435854
100               898                    -947                         572.652020245044                             3.0684837241386673                                    9.594059405940595                                        2.262903886905347
101               884                    -922                         582.0883863601457                             3.05809060121688                                    9.537029702970298                                        2.2349611487617405
102               834                    -885                         581.781816942449                             3.088999013626979                                    9.722772277227723                                        2.242886371471897
103               799                    -1020                         550.4651658969672                             3.0676489668661975                                    9.627722772277227                                        2.2590780442143004
104               851                    -902                         533.6434740375926                             3.1027371545505606                                    9.83881188118812                                        2.2802941670109558
105               878                    282                         566.4157964247369                             3.104210060353442                                    9.846336633663366                                        2.2893304962991166
106               931                    -908                         568.1138388064278                             3.0960197087124395                                    9.76910891089109                                        2.259019599594359
107               952                    -919                         589.0915728685604                             3.0271544316109016                                    9.3390099009901                                        2.2482938522447804
108               943                    -894                         596.4566775233891                             3.0916243185958305                                    9.741386138613862                                        2.2473774610472472
109               943                    -926                         598.233289256744                             3.0599269189362714                                    9.525148514851486                                        2.230209449262691
110               895                    -931                         595.106743638273                             3.0744085471094875                                    9.616237623762377                                        2.225847735170309
111               885                    -949                         554.3652530072553                             3.0320625007342206                                    9.374653465346535                                        2.2367787497035407
112               904                    -934                         568.7024284838257                             3.053847459501049                                    9.523960396039604                                        2.2520115564167567
113               860                    352                         588.1630954300317                             3.087964601633313                                    9.744554455445545                                        2.246325577117797
114               891                    -932                         587.4775873189762                             3.042038750066137                                    9.413861386138613                                        2.2272038802123335
115               935                    -948                         595.9764174218644                             3.075638164073294                                    9.64950495049505                                        2.253365934657437
116               895                    -934                         616.5426641564768                             3.025383359538767                                    9.343762376237624                                        2.2734907988474893
117               900                    -933                         625.8010350485354                             3.033797365858049                                    9.37108910891089                                        2.2410484890411593
118               868                    -1000                         584.8906165341687                             3.072091992833412                                    9.613465346534653                                        2.2235259035259953
119               910                    -912                         590.2720409403516                             3.0935717485982916                                    9.746138613861387                                        2.2647153500417017
120               891                    -885                         599.6459214602748                             3.079268306487746                                    9.69108910891089                                        2.2941679021899213
121               841                    -962                         589.9120696410284                             3.0982643105895                                    9.785742574257426                                        2.272094634893423
122               920                    -934                         578.258015018534                             3.09305381360766                                    9.746534653465346                                        2.2665700438066634
123               883                    -946                         583.109205529069                             3.0471290374569135                                    9.457029702970297                                        2.241275803616492
124               860                    -885                         591.09915721998                             3.068881625805808                                    9.613069306930694                                        2.2404977398142663
125               843                    -1017                         584.1337370258316                             3.06587977652271                                    9.581386138613862                                        2.2375246176081394
126               942                    -970                         575.8688487109356                             3.0837854354329375                                    9.66970297029703                                        2.236278634288447
127               835                    -926                         569.8156124742798                             3.0752719233248946                                    9.653465346534654                                        2.258447960590968
128               929                    -938                         560.1701824747636                             3.060922859739019                                    9.537821782178218                                        2.23328149501245
129               853                    -948                         569.3722199502531                             3.063370359274437                                    9.593663366336633                                        2.26996255621565
130               890                    365                         578.1861099751266                             3.0907552726868572                                    9.763960396039604                                        2.2498962765017643
131               930                    -1009                         588.0633520172662                             3.0745398731825473                                    9.642772277227722                                        2.2618684821128787
132               947                    -919                         563.1900918502172                             3.0587365124101313                                    9.553267326732673                                        2.238497843814411
133               876                    -894                         571.5900954300591                             3.0933106635081393                                    9.758415841584158                                        2.2512094363363353
134               918                    357                         598.1465328635444                             3.0894341986862517                                    9.708118811881189                                        2.2246927048999052
135               907                    -965                         555.1475238575148                             3.058086122186321                                    9.57980198019802                                        2.2731374199330823
136               904                    -922                         577.7123757901436                             3.0540935792581636                                    9.502970297029703                                        2.244705224516544
137               878                    -935                         563.3413364099233                             3.0649387852759755                                    9.586930693069307                                        2.2539727445622395
138               889                    -895                         591.007301868328                             3.078120131804758                                    9.661386138613862                                        2.265637634530499
139               914                    341                         595.0531558846591                             3.074933056062118                                    9.652277227722772                                        2.24073893335623
140               892                    -931                         581.373112595795                             3.100159971245158                                    9.804356435643564                                        2.2642201419714274
141               827                    -925                         586.711308773145                             3.073709227124512                                    9.681188118811882                                        2.2816492617121793
142               850                    -993                         579.7665454756814                             3.086507096488645                                    9.725940594059406                                        2.260518834514984
143               902                    -916                         594.2149559061575                             3.0762552357524093                                    9.636435643564356                                        2.252125885699746
144               888                    -981                         607.1074779530787                             3.0553185966555105                                    9.518415841584158                                        2.240447614356116
145               894                    -916                         587.727006303272                             3.06970377859648                                    9.60950495049505                                        2.2513799719970833
146               895                    -954                         581.1357803793587                             3.0818610121492944                                    9.671287128712871                                        2.2534134819337006
147               835                    -944                         582.5579891995803                             3.071964993180554                                    9.636831683168317                                        2.2624484051409377
148               843                    -953                         573.170083708701                             3.050795161374812                                    9.530693069306931                                        2.2826487971377865
149               894                    -913                         574.520685418707                             3.049733931589672                                    9.495049504950495                                        2.260078277753234
150               947                    -913                         593.5672734024229                             3.0017479379345144                                    9.202376237623762                                        2.285564981294975
151               886                    -1023                         547.308389176459                             3.039990932437937                                    9.416237623762376                                        2.2563216221874836
152               906                    -932                         567.2977589446651                             3.057684892239286                                    9.535445544554456                                        2.258475849476811
153               872                    -934                         582.2181864030256                             3.0573950540906387                                    9.52039603960396                                        2.258192591946358
154               870                    -917                         582.5100833005226                             3.0586059565409522                                    9.56118811881188                                        2.2421231536215442
155               800                    -972                         550.2550416502613                             3.0769887145428587                                    9.636039603960397                                        2.2412527941853226
156               871                    -962                         558.9196000330514                             3.1033657779250214                                    9.798019801980198                                        2.227459922437512
157               910                    -901                         581.3805920957336                             3.0707237204630937                                    9.622970297029703                                        2.226055135930175
158               870                    -891                         594.7744544637084                             3.0847255911650446                                    9.692673267326732                                        2.2472512798666258
159               845                    -1042                         574.6941579249235                             3.086628141224664                                    9.721584158415842                                        2.247796877364803
160               862                    -942                         558.0005443089964                             3.110026499222809                                    9.86930693069307                                        2.253891504938694
161               889                    -961                         565.7032424515279                             3.0731864714157706                                    9.63089108910891                                        2.243178274240402
162               837                    -902                         577.5941954831897                             3.0777919687956907                                    9.676831683168317                                        2.2573024180772565
163               877                    -913                         575.014919523773                             3.077943508559717                                    9.633267326732673                                        2.233268303377366
164               853                    -939                         589.0965686727775                             3.0429004670922892                                    9.451485148514852                                        2.2464881668548458
165               897                    -914                         583.8898684948047                             3.0693324977665988                                    9.608316831683169                                        2.2685431191076866
166               902                    -1026                         568.7469144454221                             3.100071663120417                                    9.8                                        2.23435441995331
167               895                    -926                         590.7843483118199                             3.0548372861451574                                    9.517227722772278                                        2.2418779812745906
168               889                    -956                         572.3278177202665                             3.075371707188339                                    9.653069306930693                                        2.264350772983925
169               889                    -951                         550.3124237116184                             3.0661411419523605                                    9.636039603960397                                        2.2649304975814575
170               889                    -920                         576.2750237369974                             3.056253976430736                                    9.51009900990099                                        2.2538031682138797
171               844                    -1022                         566.1424623635482                             3.0571944291447446                                    9.517623762376237                                        2.2356395285511117
172               894                    282                         594.3286569243484                             3.053130064180595                                    9.534653465346535                                        2.303214087092943
173               944                    -943                         625.1098730166296                             3.0496772082293764                                    9.473663366336634                                        2.246062147653098
174               944                    -932                         635.8866196766317                             3.0531252671694333                                    9.496237623762376                                        2.2597296989304065
