iteracion  mejor_solucion       peor_solucion                               promedio                                 distancia_euclidiana                                  distancia_hamming                                    entropia
0               823                    269                         294.65346534653463                             3.116622874956178                                    9.87089108910891                                        2.2437042844708714
1               914                    -911                         446.33663366336634                             3.0792800174805004                                    9.659405940594059                                        2.2299499767618025
2               866                    -934                         510.05445544554453                             3.0912052324898056                                    9.72871287128713                                        2.2289056574353068
3               899                    -940                         538.7747524752475                             3.060427961354605                                    9.524752475247524                                        2.2559018019448325
4               867                    -1011                         566.7438118811881                             3.046781372150589                                    9.454653465346535                                        2.232070732519388
5               955                    -932                         592.5253712871287                             3.0446201890826003                                    9.443168316831683                                        2.2447359704489394
6               962                    -930                         603.8270420792079                             3.085891286719729                                    9.68079207920792                                        2.240461257140931
7               962                    -952                         622.8986695544554                             3.051081839682389                                    9.46970297029703                                        2.2593758814710987
8               900                    -936                         615.4493347772277                             3.0852014538336525                                    9.688712871287128                                        2.2365174419495584
9               923                    -893                         601.5811030321781                             3.0723418090984196                                    9.625742574257426                                        2.243854192913446
10               810                    -1070                         612.3202544863861                             3.0906256361301048                                    9.718019801980198                                        2.2450189688994393
11               926                    -926                         595.68983021349                             3.0821142439679643                                    9.685148514851486                                        2.2587862349535106
12               938                    -934                         590.7706576810024                             3.0602167774322524                                    9.550495049504951                                        2.261723265916342
13               880                    -910                         603.9694872563427                             3.0406819387117268                                    9.425742574257425                                        2.246478857034161
14               930                    -976                         597.5045456083694                             3.0761478249017418                                    9.651881188118812                                        2.2434122533486254
15               916                    -969                         601.7572232992343                             3.0661012800488954                                    9.57980198019802                                        2.264650995534311
16               890                    -936                         586.0073245209043                             3.0556759653076364                                    9.55009900990099                                        2.2453276026471154
17               878                    -887                         591.2165335475809                             3.099187444921476                                    9.783762376237624                                        2.257139946361287
18               924                    -988                         548.3260885559687                             3.0593205747913426                                    9.531485148514852                                        2.2519619314993995
19               897                    -1010                         574.4105690304596                             3.0398199706793685                                    9.438019801980198                                        2.2404289028884032
20               888                    -946                         542.1112251092892                             3.0501216501581316                                    9.493069306930693                                        2.2537233314957357
21               930                    -946                         566.3377907724664                             3.101740979076981                                    9.813465346534654                                        2.244676986731205
22               809                    -901                         564.3669151882134                             3.110251602417301                                    9.873267326732673                                        2.2420680550056433
23               863                    -911                         564.3418734356908                             3.065806145473125                                    9.596435643564357                                        2.2613446820391143
24               894                    -897                         586.6956891930929                             3.0852333583299334                                    9.710495049504951                                        2.2585946683478912
25               882                    262                         590.0062604381305                             3.1089756849144905                                    9.883960396039605                                        2.2684902479458464
26               887                    -985                         530.1318430903524                             3.069020260990081                                    9.617821782178218                                        2.2443827256750333
27               922                    -959                         552.0609710501267                             3.0850829155542696                                    9.718415841584159                                        2.2589796098034243
28               955                    -1092                         583.3473172082316                             3.0628657752200414                                    9.571089108910892                                        2.2630049275316715
29               846                    -904                         606.7479160298584                             3.0253404978841507                                    9.364752475247524                                        2.252173693535043
30               935                    -953                         568.7353441535431                             3.0379673919757177                                    9.40950495049505                                        2.2471877160177622
31               935                    -981                         551.7538106906329                             3.0747803111055765                                    9.655049504950496                                        2.265848959021252
32               895                    -963                         539.2976974245244                             3.0811147880309955                                    9.692277227722773                                        2.259500375085317
