iteracion  mejor_solucion       peor_solucion                   promedio                             distancia_euclidiana                         distancia_hamming                             entropia
0               810                -909                    564.94                             3.018951564102568                                    9.62938775510204                                        2.1964733018072145
1               810                -909                    641.4                             2.5387547143331486                                    8.128979591836735                                        2.1358680546624282
2               810                -909                    682.2                             2.3335358433864117                                    7.48                                        1.9700589544887184
3               810                338                    769.68                             2.0497808492758027                                    6.506122448979592                                        1.614150393362597
4               810                338                    787.76                             1.7068425735489974                                    5.506938775510204                                        1.24917838292529
5               810                338                    795.74                             1.2715099516711712                                    4.182040816326531                                        0.9584249071035063
6               810                338                    798.88                             0.6320072646587325                                    2.1395918367346938                                        0.5901169464901402
7               810                789                    808.74                             0.38175028199192756                                    1.266122448979592                                        0.3570511974025997
8               810                789                    809.16                             0.2599150856115252                                    0.8620408163265306                                        0.27476364436178197
9               810                789                    809.58                             0.132664991614216                                    0.44                                        0.167944147734173
10               810                810                    810.0                             0.0                                    0.0                                        -0.0
11               810                810                    810.0                             0.0                                    0.0                                        -0.0
12               810                810                    810.0                             0.0                                    0.0                                        -0.0
13               810                810                    810.0                             0.0                                    0.0                                        -0.0
14               810                810                    810.0                             0.0                                    0.0                                        -0.0
15               810                248                    766.88                             0.837891852045724                                    2.706938775510204                                        0.9757237644947474
16               851                248                    584.64                             3.106159557956788                                    9.860408163265307                                        2.2405270412578546
17               851                248                    663.24                             2.9144026905177483                                    9.221224489795919                                        2.239790872719279
18               851                297                    727.58                             2.6290772599368473                                    8.263673469387754                                        2.131683989774706
19               851                491                    790.88                             1.975234632936613                                    6.179591836734694                                        1.7189291703737448
20               851                509                    836.52                             0.6927352592939804                                    2.163265306122449                                        0.729062300084472
21               851                810                    850.18                             0.12649110640673517                                    0.4                                        0.167944147734173
22               851                851                    851.0                             0.0                                    0.0                                        -0.0
23               851                851                    851.0                             0.0                                    0.0                                        -0.0
24               851                851                    851.0                             0.0                                    0.0                                        -0.0
25               851                851                    851.0                             0.0                                    0.0                                        -0.0
26               851                851                    851.0                             0.0                                    0.0                                        -0.0
27               851                851                    851.0                             0.0                                    0.0                                        -0.0
28               851                851                    851.0                             0.0                                    0.0                                        -0.0
29               851                851                    851.0                             0.0                                    0.0                                        -0.0
30               851                851                    851.0                             0.0                                    0.0                                        -0.0
31               851                612                    846.22                             0.1264911064067352                                    0.4                                        0.167944147734173
32               851                321                    672.16                             2.5032119562873407                                    8.0                                        2.1747257104771993
33               851                231                    606.38                             2.95382037002312                                    9.467755102040817                                        2.376802821056255
34               851                346                    693.6                             2.5134955714794076                                    7.916734693877551                                        2.235823681258662
35               851                461                    772.34                             1.5824194322808844                                    4.722448979591837                                        1.726842544655684
36               851                461                    797.12                             1.0477747873550889                                    3.0783673469387756                                        1.2061812983571683
37               851                461                    822.72                             0.5291027668123357                                    1.469387755102041                                        0.7223808028562114
38               851                461                    826.02                             0.43080205306204095                                    1.2057142857142857                                        0.6130655308421306
39               851                461                    833.38                             0.3168870007707394                                    0.8604081632653061                                        0.49909585526265715
40               851                542                    844.82                             0.10583005244258363                                    0.28                                        0.167944147734173
41               851                542                    844.82                             0.10583005244258363                                    0.28                                        0.167944147734173
42               851                851                    851.0                             0.0                                    0.0                                        -0.0
43               851                851                    851.0                             0.0                                    0.0                                        -0.0
44               851                851                    851.0                             0.0                                    0.0                                        -0.0
45               851                851                    851.0                             0.0                                    0.0                                        -0.0
46               851                851                    851.0                             0.0                                    0.0                                        -0.0
47               851                352                    841.02                             0.1264911064067352                                    0.4                                        0.167944147734173
48               851                273                    695.3                             2.366388840324128                                    7.502040816326531                                        2.026895249635477
49               851                -900                    660.5                             2.609758553157466                                    8.183673469387756                                        2.193918995532251
50               851                -900                    721.0                             1.8541109073765427                                    5.844897959183673                                        1.843138064294214
51               851                188                    789.12                             1.0640169412297134                                    3.443265306122449                                        1.2092022939685254
52               851                554                    834.98                             0.4838032938507812                                    1.5159183673469387                                        0.604032746805503
53               851                626                    840.92                             0.35860925915126407                                    1.0987755102040817                                        0.4951279277171829
54               851                703                    848.04                             0.11313708498984762                                    0.32                                        0.167944147734173
55               851                703                    848.04                             0.11313708498984762                                    0.32                                        0.167944147734173
56               851                851                    851.0                             0.0                                    0.0                                        -0.0
57               851                851                    851.0                             0.0                                    0.0                                        -0.0
58               851                851                    851.0                             0.0                                    0.0                                        -0.0
59               851                851                    851.0                             0.0                                    0.0                                        -0.0
60               851                851                    851.0                             0.0                                    0.0                                        -0.0
61               851                851                    851.0                             0.0                                    0.0                                        -0.0
62               851                851                    851.0                             0.0                                    0.0                                        -0.0
63               851                429                    842.56                             0.132664991614216                                    0.44                                        0.167944147734173
64               851                159                    707.66                             2.239714926863606                                    7.16734693877551                                        2.2065257508706733
65               851                356                    682.24                             2.7160959623824947                                    8.565714285714286                                        2.332578079000922
66               851                195                    685.78                             2.7260682796276234                                    8.640816326530611                                        2.250168937989926
67               851                195                    730.6                             2.1983594401096433                                    6.911836734693877                                        2.0738808555656982
68               851                195                    775.12                             1.718725660327253                                    5.295510204081633                                        1.7738526747498302
69               851                195                    810.9                             0.7156987791499163                                    2.280816326530612                                        0.9213456280740658
70               851                195                    823.6                             0.46839968108779395                                    1.4391836734693877                                        0.609114973256927
71               851                195                    837.88                             0.14422205101855956                                    0.52                                        0.167944147734173
72               851                851                    851.0                             0.0                                    0.0                                        -0.0
73               851                851                    851.0                             0.0                                    0.0                                        -0.0
74               851                851                    851.0                             0.0                                    0.0                                        -0.0
75               851                851                    851.0                             0.0                                    0.0                                        -0.0
76               851                851                    851.0                             0.0                                    0.0                                        -0.0
77               851                851                    851.0                             0.0                                    0.0                                        -0.0
78               851                851                    851.0                             0.0                                    0.0                                        -0.0
79               851                601                    846.0                             0.11313708498984762                                    0.32                                        0.167944147734173
80               851                354                    765.62                             1.518334580733334                                    5.081632653061225                                        1.5221579252756552
81               898                -993                    573.3                             2.8476275751781364                                    9.107755102040816                                        2.2949689007356278
82               898                314                    687.48                             2.7396120081059774                                    8.631836734693877                                        2.232921372435165
83               898                346                    749.06                             2.364199847924407                                    7.293061224489796                                        2.216263219703481
84               898                483                    850.94                             1.1082124652105825                                    3.2310204081632654                                        1.2768398051323013
85               898                483                    864.66                             0.9082711373557396                                    2.6106122448979594                                        1.0838420364447987
86               898                483                    886.88                             0.41294982871400315                                    1.1461224489795918                                        0.5242982831391437
87               898                483                    888.76                             0.23402515290200074                                    0.7118367346938775                                        0.3356377455024303
88               898                483                    889.7                             0.13856406460551018                                    0.48                                        0.167944147734173
89               898                898                    898.0                             0.0                                    0.0                                        -0.0
90               898                898                    898.0                             0.0                                    0.0                                        -0.0
91               898                898                    898.0                             0.0                                    0.0                                        -0.0
92               898                898                    898.0                             0.0                                    0.0                                        -0.0
93               898                898                    898.0                             0.0                                    0.0                                        -0.0
94               898                898                    898.0                             0.0                                    0.0                                        -0.0
95               898                898                    898.0                             0.0                                    0.0                                        -0.0
96               898                294                    850.3                             0.828429924992889                                    2.636734693877551                                        1.0066074245625074
97               898                281                    739.8                             2.1798165193536154                                    6.989387755102041                                        2.164233088656449
98               898                294                    684.12                             2.578766563239175                                    8.147755102040817                                        2.2558589200041683
99               898                294                    741.52                             2.2090530975320317                                    6.964081632653061                                        2.050566726753679
100               898                294                    825.36                             1.2192633505082364                                    3.8391836734693876                                        1.387724880842161
101               898                294                    855.26                             0.701109409492949                                    2.2089795918367345                                        0.8625696780251408
102               898                449                    881.42                             0.3499645900064622                                    1.0620408163265307                                        0.4990958552626571
103               898                898                    898.0                             0.0                                    0.0                                        -0.0
104               898                898                    898.0                             0.0                                    0.0                                        -0.0
105               898                898                    898.0                             0.0                                    0.0                                        -0.0
106               898                898                    898.0                             0.0                                    0.0                                        -0.0
107               898                898                    898.0                             0.0                                    0.0                                        -0.0
108               898                898                    898.0                             0.0                                    0.0                                        -0.0
109               898                898                    898.0                             0.0                                    0.0                                        -0.0
110               898                898                    898.0                             0.0                                    0.0                                        -0.0
111               898                898                    898.0                             0.0                                    0.0                                        -0.0
112               898                317                    855.92                             0.6900665193069168                                    2.1689795918367345                                        0.9630974662024044
113               898                271                    772.32                             1.8574488647829919                                    5.902857142857143                                        1.9956856029895347
114               898                115                    656.34                             2.7384015265839436                                    8.849795918367347                                        2.3433676442881883
115               898                -901                    654.7                             2.53862760491043                                    8.240816326530613                                        2.2938364111571916
116               898                -901                    763.1                             1.6544279532022317                                    5.419591836734694                                        1.8097544629520013
117               898                359                    839.64                             1.088361964461846                                    3.650612244897959                                        1.2482170482731483
118               898                359                    863.06                             0.626812730472269                                    2.073469387755102                                        0.8094411841886543
119               898                642                    892.88                             0.12649110640673517                                    0.4                                        0.167944147734173
120               898                898                    898.0                             0.0                                    0.0                                        -0.0
121               898                898                    898.0                             0.0                                    0.0                                        -0.0
122               898                898                    898.0                             0.0                                    0.0                                        -0.0
123               898                898                    898.0                             0.0                                    0.0                                        -0.0
124               898                898                    898.0                             0.0                                    0.0                                        -0.0
125               898                898                    898.0                             0.0                                    0.0                                        -0.0
126               898                898                    898.0                             0.0                                    0.0                                        -0.0
127               898                898                    898.0                             0.0                                    0.0                                        -0.0
128               898                235                    841.82                             0.7255445116780371                                    2.346122448979592                                        0.9168749139565423
129               898                300                    798.64                             1.5063634049683643                                    4.76                                        1.7473949462565987
130               898                358                    733.28                             2.382447783121133                                    7.44                                        2.1608882697559006
131               898                334                    726.98                             2.3094492874992842                                    7.349387755102041                                        2.114659292859408
132               898                334                    793.24                             1.5771864917982248                                    4.893061224489796                                        1.6481723776640327
133               898                334                    849.44                             0.8233363348740902                                    2.5951020408163266                                        0.9857249556965368
134               898                334                    886.72                             0.13856406460551018                                    0.48                                        0.167944147734173
135               898                898                    898.0                             0.0                                    0.0                                        -0.0
136               898                898                    898.0                             0.0                                    0.0                                        -0.0
137               898                898                    898.0                             0.0                                    0.0                                        -0.0
138               898                898                    898.0                             0.0                                    0.0                                        -0.0
139               898                898                    898.0                             0.0                                    0.0                                        -0.0
140               898                898                    898.0                             0.0                                    0.0                                        -0.0
141               898                898                    898.0                             0.0                                    0.0                                        -0.0
142               898                898                    898.0                             0.0                                    0.0                                        -0.0
143               898                898                    898.0                             0.0                                    0.0                                        -0.0
144               898                -966                    827.14                             0.708287500222435                                    2.244081632653061                                        0.8747622375115943
145               898                269                    801.86                             1.3745208049067292                                    4.492244897959184                                        1.5213236670053747
146               898                310                    716.42                             2.4408483674570816                                    7.819591836734694                                        2.314854792206419
147               898                310                    703.2                             2.600118978323532                                    8.143673469387755                                        2.3388931471091703
148               898                310                    756.46                             2.0058192649431916                                    6.378775510204082                                        2.041350331139402
149               898                310                    839.46                             0.9068180754147479                                    2.8310204081632655                                        1.210169599833728
150               898                337                    882.18                             0.2671062088494801                                    0.9118367346938776                                        0.3356377455024303
151               898                898                    898.0                             0.0                                    0.0                                        -0.0
152               898                898                    898.0                             0.0                                    0.0                                        -0.0
153               898                898                    898.0                             0.0                                    0.0                                        -0.0
154               898                898                    898.0                             0.0                                    0.0                                        -0.0
155               898                898                    898.0                             0.0                                    0.0                                        -0.0
156               898                898                    898.0                             0.0                                    0.0                                        -0.0
157               898                898                    898.0                             0.0                                    0.0                                        -0.0
158               898                898                    898.0                             0.0                                    0.0                                        -0.0
159               898                898                    898.0                             0.0                                    0.0                                        -0.0
160               898                356                    847.84                             0.6927296257303728                                    2.1322448979591835                                        0.8659499157763489
161               898                377                    806.78                             1.4000287921184507                                    4.628571428571429                                        1.461864283258605
162               898                246                    721.48                             2.286083529708057                                    7.418775510204082                                        2.0921484839278626
163               898                265                    733.38                             2.3096519287828157                                    7.35265306122449                                        2.038221137420314
164               898                265                    804.7                             1.4080431037822303                                    4.403265306122449                                        1.5136043415913814
165               898                265                    855.96                             0.5920832819717841                                    1.8416326530612246                                        0.7579721061367858
166               898                265                    869.98                             0.35132287853796085                                    1.0571428571428572                                        0.4498753460957765
167               898                622                    892.48                             0.10583005244258364                                    0.28                                        0.167944147734173
168               898                622                    892.48                             0.10583005244258364                                    0.28                                        0.167944147734173
169               898                898                    898.0                             0.0                                    0.0                                        -0.0
170               898                898                    898.0                             0.0                                    0.0                                        -0.0
171               898                898                    898.0                             0.0                                    0.0                                        -0.0
172               898                898                    898.0                             0.0                                    0.0                                        -0.0
173               898                898                    898.0                             0.0                                    0.0                                        -0.0
174               898                898                    898.0                             0.0                                    0.0                                        -0.0
175               898                898                    898.0                             0.0                                    0.0                                        -0.0
176               898                389                    844.66                             0.7812387931771921                                    2.690612244897959                                        0.7686900565647572
177               898                254                    818.96                             1.138531935690764                                    3.602448979591837                                        1.3141268735977203
178               898                219                    718.74                             2.165030637793275                                    6.862857142857143                                        2.0541048520894596
179               898                -893                    662.12                             2.4569677578877616                                    7.7036734693877555                                        2.141075418622695
180               898                -893                    732.58                             1.884195347201263                                    5.809795918367347                                        1.9503072871242357
181               898                386                    843.18                             0.9699763457598483                                    2.866122448979592                                        1.1465306811235763
182               898                386                    868.56                             0.5735983742374877                                    1.7248979591836735                                        0.6961876513583874
183               898                689                    893.82                             0.11313708498984762                                    0.32                                        0.167944147734173
184               898                689                    893.82                             0.11313708498984762                                    0.32                                        0.167944147734173
185               898                898                    898.0                             0.0                                    0.0                                        -0.0
186               898                898                    898.0                             0.0                                    0.0                                        -0.0
187               898                898                    898.0                             0.0                                    0.0                                        -0.0
188               898                898                    898.0                             0.0                                    0.0                                        -0.0
189               898                898                    898.0                             0.0                                    0.0                                        -0.0
190               898                898                    898.0                             0.0                                    0.0                                        -0.0
191               898                898                    898.0                             0.0                                    0.0                                        -0.0
192               901                477                    868.76                             0.5813072489824734                                    1.883265306122449                                        0.7602029273948019
193               901                363                    815.64                             1.5342390045690557                                    4.559183673469388                                        1.8161911506279147
194               901                373                    804.22                             2.015817864253831                                    5.768163265306122                                        2.099610723301588
195               901                373                    745.94                             2.3124315431142604                                    7.124081632653061                                        2.2281078482052306
196               901                392                    761.2                             2.111684608849607                                    6.421224489795918                                        2.1519192153045172
197               901                409                    787.08                             1.8002691534591047                                    5.514285714285714                                        1.7578820089679896
198               901                452                    856.5                             0.8557935865831906                                    2.496326530612245                                        1.1175554696120003
199               901                578                    888.88                             0.20911709123767827                                    0.5551020408163265                                        0.3316528099237839
200               901                901                    901.0                             0.0                                    0.0                                        -0.0
201               901                901                    901.0                             0.0                                    0.0                                        -0.0
202               901                901                    901.0                             0.0                                    0.0                                        -0.0
203               901                901                    901.0                             0.0                                    0.0                                        -0.0
204               901                901                    901.0                             0.0                                    0.0                                        -0.0
205               901                901                    901.0                             0.0                                    0.0                                        -0.0
206               901                901                    901.0                             0.0                                    0.0                                        -0.0
207               901                901                    901.0                             0.0                                    0.0                                        -0.0
208               901                442                    873.86                             0.472782350713447                                    1.4424489795918367                                        0.5413602612709598
209               901                424                    841.42                             1.1075216806121482                                    3.4                                        1.2556519032512292
210               901                -921                    773.88                             1.704783389240465                                    5.403265306122449                                        1.6886527048676618
211               901                431                    746.94                             2.357362064851408                                    7.44                                        2.061971401402093
212               901                338                    757.68                             2.165392262877681                                    6.847346938775511                                        1.9994777480430335
213               901                307                    772.56                             1.846143912433382                                    6.0718367346938775                                        1.7866242208237941
214               901                431                    845.28                             0.9614416474375874                                    3.1485714285714286                                        1.1232366173622974
215               901                431                    875.52                             0.4878937029786587                                    1.5477551020408162                                        0.6504343672534005
216               901                431                    881.22                             0.37538976486737835                                    1.2106122448979593                                        0.49796418639643686
217               901                773                    898.44                             0.11313708498984762                                    0.32                                        0.167944147734173
